src_ip,dst_ip,dst_port,src_port,dst_diversity,src_diversity,udp_ratio,tcp_ratio,http_ratio,ssh_ratio,smtp_ratio,bytes,packets,avg_duration
192.168.121.3,0.0074211502782931356,0.0045901639344262295,0.002680965147453083,0.25854179013829437,0.5326354679802955,0.4827586206896552,0.5172413793103449,0.0,0.0,0.0,0.0001811118684502503,0.0005920386657633378,1.4479565965774238e-05
192.168.120.60,0.00030921459492888067,0.0,0.025379803395889185,0.002431918569961112,0.7222524373539602,1.0,0.0,0.0,0.0,0.0,2.4471218475933633e-05,0.00010987452279153783,5.920860307493696e-08
192.168.199.12,0.0015460729746444033,0.0022950819672131148,0.037890974084003576,0.018286339190857932,0.9769202700237183,0.35172413793103446,0.6482758620689655,0.004597701149425287,0.0,0.0,0.00032607409662285775,0.0006983891488777129,3.102281767070341e-05
192.168.4.19,0.00030921459492888067,0.0003278688524590164,0.04164432529043789,0.004122357195433638,0.987264673311185,1.0,0.0,0.0,0.0,0.0,2.523086328415654e-05,0.000141339162766205,1.6439879923555437e-08
192.168.147.161,0.012677798392084107,0.0042622950819672135,0.014477211796246649,0.03955785477957331,0.45962048653266785,0.42492917847025496,0.5750708215297451,0.028328611898016998,0.0113314447592068,0.0,0.0021818641924823984,0.00843604755288797,0.00042731878202893
192.168.120.67,0.00030921459492888067,0.0,0.027613941018766755,0.0022634978285501583,0.7335439705107952,1.0,0.0,0.0,0.0,0.0,2.722793854921314e-05,0.00012057250038292467,5.5280070169490914e-08
192.168.2.111,0.0,0.0,0.005630026809651474,0.015520240249028894,1.0,0.0,1.0,0.0,0.0,0.0,0.00010016054288691994,0.000282300749852714,9.714678960910595e-05
192.168.198.119,0.00030921459492888067,0.0009836065573770492,0.002055406613047364,0.16657798116319908,1.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.00013880412113110636,0.00013630482037025826,2.9016235843964937e-05
192.168.120.63,0.00030921459492888067,0.0,0.023413762287756927,0.0027267400661056215,0.7440307567786322,1.0,0.0,0.0,0.0,0.0,2.0714070251372335e-05,9.451977848390024e-05,1.2238059810893487e-08
192.168.119.50,0.00030921459492888067,0.0003278688524590164,0.015102770330652368,0.011659535308829006,1.0,0.12352941176470589,0.8764705882352941,0.0,0.0,0.0,0.00015732243978296379,0.0003712827517010728,4.013058500492433e-05
